olur olursun eder edersin
gelir gelirsin düşünür düşünürsün
gelir gelirsin tartışır tartışırsın
gelir gelirsin bakar bakarsın
gelir gelirsin arar ararsın
gelir gelirsin bırakır bırakırsın
gelir gelirsin yazar yazarsın
gelir gelirsin satar satarsın
gelir gelirsin hazırlar hazırlarsın
gelir gelirsin tutar tutarsın
gelir gelirsin savunur savunursun
gelir gelirsin oynar oynarsın
gelir gelirsin kazanır kazanırsın
söyler söylersin ister istersin
söyler söylersin bulunur bulunursun
söyler söylersin görür görürsün
söyler söylersin gider gidersin
söyler söylersin geçer geçersin
söyler söylersin bilir bilirsin
söyler söylersin başlar başlarsın
söyler söylersin getirir getirirsin
söyler söylersin kalır kalırsın
söyler söylersin konuşur konuşursun
söyler söylersin sürer sürersin
söyler söylersin açıklar açıklarsın
söyler söylersin girer girersin
söyler söylersin kullanır kullanırsın
söyler söylersin yaşar yaşarsın
söyler söylersin açar açarsın
söyler söylersin gösterir gösterirsin
söyler söylersin anlar anlarsın
söyler söylersin bulur bulursun
söyler söylersin kurar kurarsın
söyler söylersin düşer düşersin
söyler söylersin atar atarsın
söyler söylersin bekler beklersin
söyler söylersin sağlar sağlarsın
söyler söylersin düşünür düşünürsün
söyler söylersin tartışır tartışırsın
söyler söylersin bakar bakarsın
söyler söylersin arar ararsın
söyler söylersin bırakır bırakırsın
söyler söylersin yazar yazarsın
söyler söylersin satar satarsın
söyler söylersin hazırlar hazırlarsın
söyler söylersin tutar tutarsın
söyler söylersin savunur savunursun
söyler söylersin oynar oynarsın
söyler söylersin kazanır kazanırsın
ister istersin bulunur bulunursun
ister istersin görür görürsün
ister istersin gider gidersin
ister istersin geçer geçersin
ister istersin bilir bilirsin
ister istersin başlar başlarsın
ister istersin getirir getirirsin
ister istersin kalır kalırsın
ister istersin konuşur konuşursun
ister istersin sürer sürersin
ister istersin açıklar açıklarsın
ister istersin girer girersin
ister istersin kullanır kullanırsın
ister istersin yaşar yaşarsın
ister istersin açar açarsın
ister istersin gösterir gösterirsin
ister istersin anlar anlarsın
ister istersin bulur bulursun
ister istersin kurar kurarsın
ister istersin düşer düşersin
ister istersin atar atarsın
ister istersin bekler beklersin
ister istersin sağlar sağlarsın
ister istersin düşünür düşünürsün
ister istersin tartışır tartışırsın
ister istersin bakar bakarsın
ister istersin arar ararsın
ister istersin bırakır bırakırsın
ister istersin yazar yazarsın
ister istersin satar satarsın
ister istersin hazırlar hazırlarsın
ister istersin tutar tutarsın
ister istersin savunur savunursun
ister istersin oynar oynarsın
ister istersin kazanır kazanırsın
bulunur bulunursun görür görürsün
bulunur bulunursun gider gidersin
bulunur bulunursun geçer geçersin
bulunur bulunursun bilir bilirsin
bulunur bulunursun başlar başlarsın
bulunur bulunursun getirir getirirsin
bulunur bulunursun kalır kalırsın
bulunur bulunursun konuşur konuşursun
bulunur bulunursun sürer sürersin
bulunur bulunursun açıklar açıklarsın
bulunur bulunursun girer girersin
bulunur bulunursun kullanır kullanırsın
bulunur bulunursun yaşar yaşarsın
bulunur bulunursun açar açarsın
bulunur bulunursun gösterir gösterirsin
bulunur bulunursun anlar anlarsın
bulunur bulunursun bulur bulursun
bulunur bulunursun kurar kurarsın
bulunur bulunursun düşer düşersin
bulunur bulunursun atar atarsın
bulunur bulunursun bekler beklersin
bulunur bulunursun sağlar sağlarsın
bulunur bulunursun düşünür düşünürsün
bulunur bulunursun tartışır tartışırsın
bulunur bulunursun bakar bakarsın
bulunur bulunursun arar ararsın
bulunur bulunursun bırakır bırakırsın
bulunur bulunursun yazar yazarsın
bulunur bulunursun satar satarsın
bulunur bulunursun hazırlar hazırlarsın
bulunur bulunursun tutar tutarsın
bulunur bulunursun savunur savunursun
bulunur bulunursun oynar oynarsın
bulunur bulunursun kazanır kazanırsın
görür görürsün gider gidersin
görür görürsün geçer geçersin
görür görürsün bilir bilirsin
görür görürsün başlar başlarsın
görür görürsün getirir getirirsin
görür görürsün kalır kalırsın
görür görürsün konuşur konuşursun
görür görürsün sürer sürersin
görür görürsün açıklar açıklarsın
görür görürsün girer girersin
görür görürsün kullanır kullanırsın
görür görürsün yaşar yaşarsın
görür görürsün açar açarsın
görür görürsün gösterir gösterirsin
görür görürsün anlar anlarsın
görür görürsün bulur bulursun
görür görürsün kurar kurarsın
görür görürsün düşer düşersin
görür görürsün atar atarsın
görür görürsün bekler beklersin
görür görürsün sağlar sağlarsın
görür görürsün düşünür düşünürsün
görür görürsün tartışır tartışırsın
görür görürsün bakar bakarsın
görür görürsün arar ararsın
görür görürsün bırakır bırakırsın
görür görürsün yazar yazarsın
görür görürsün satar satarsın
görür görürsün hazırlar hazırlarsın
görür görürsün tutar tutarsın
görür görürsün savunur savunursun
görür görürsün oynar oynarsın
görür görürsün kazanır kazanırsın
gider gidersin geçer geçersin
gider gidersin bilir bilirsin
gider gidersin başlar başlarsın
gider gidersin getirir getirirsin
gider gidersin kalır kalırsın
gider gidersin konuşur konuşursun
gider gidersin sürer sürersin
gider gidersin açıklar açıklarsın
gider gidersin girer girersin
gider gidersin kullanır kullanırsın
gider gidersin yaşar yaşarsın
gider gidersin açar açarsın
gider gidersin gösterir gösterirsin
gider gidersin anlar anlarsın
gider gidersin bulur bulursun
gider gidersin kurar kurarsın
gider gidersin düşer düşersin
gider gidersin atar atarsın
gider gidersin bekler beklersin
gider gidersin sağlar sağlarsın
gider gidersin düşünür düşünürsün
gider gidersin tartışır tartışırsın
gider gidersin bakar bakarsın
gider gidersin arar ararsın
gider gidersin bırakır bırakırsın
gider gidersin yazar yazarsın
gider gidersin satar satarsın
gider gidersin hazırlar hazırlarsın
gider gidersin tutar tutarsın
gider gidersin savunur savunursun
gider gidersin oynar oynarsın
gider gidersin kazanır kazanırsın
geçer geçersin bilir bilirsin
geçer geçersin başlar başlarsın
geçer geçersin getirir getirirsin
geçer geçersin kalır kalırsın
geçer geçersin konuşur konuşursun
geçer geçersin sürer sürersin
geçer geçersin açıklar açıklarsın
geçer geçersin girer girersin
geçer geçersin kullanır kullanırsın
geçer geçersin yaşar yaşarsın
geçer geçersin açar açarsın
geçer geçersin gösterir gösterirsin
geçer geçersin anlar anlarsın
geçer geçersin bulur bulursun
geçer geçersin kurar kurarsın
geçer geçersin düşer düşersin
geçer geçersin atar atarsın
geçer geçersin bekler beklersin
geçer geçersin sağlar sağlarsın
geçer geçersin düşünür düşünürsün
geçer geçersin tartışır tartışırsın
geçer geçersin bakar bakarsın
geçer geçersin arar ararsın
geçer geçersin bırakır bırakırsın
geçer geçersin yazar yazarsın
geçer geçersin satar satarsın
geçer geçersin hazırlar hazırlarsın
geçer geçersin tutar tutarsın
geçer geçersin savunur savunursun
geçer geçersin oynar oynarsın
geçer geçersin kazanır kazanırsın
bilir bilirsin başlar başlarsın
bilir bilirsin getirir getirirsin
bilir bilirsin kalır kalırsın
bilir bilirsin konuşur konuşursun
bilir bilirsin sürer sürersin
bilir bilirsin açıklar açıklarsın
bilir bilirsin girer girersin
bilir bilirsin kullanır kullanırsın
bilir bilirsin yaşar yaşarsın
bilir bilirsin açar açarsın
bilir bilirsin gösterir gösterirsin
bilir bilirsin anlar anlarsın
bilir bilirsin bulur bulursun
bilir bilirsin kurar kurarsın
bilir bilirsin düşer düşersin
bilir bilirsin atar atarsın
bilir bilirsin bekler beklersin
bilir bilirsin sağlar sağlarsın
bilir bilirsin düşünür düşünürsün
bilir bilirsin tartışır tartışırsın
bilir bilirsin bakar bakarsın
bilir bilirsin arar ararsın
bilir bilirsin bırakır bırakırsın
bilir bilirsin yazar yazarsın
bilir bilirsin satar satarsın
bilir bilirsin hazırlar hazırlarsın
bilir bilirsin tutar tutarsın
bilir bilirsin savunur savunursun
bilir bilirsin oynar oynarsın
bilir bilirsin kazanır kazanırsın
başlar başlarsın getirir getirirsin
başlar başlarsın kalır kalırsın
başlar başlarsın konuşur konuşursun
başlar başlarsın sürer sürersin
başlar başlarsın açıklar açıklarsın
başlar başlarsın girer girersin
başlar başlarsın kullanır kullanırsın
başlar başlarsın yaşar yaşarsın
başlar başlarsın açar açarsın
başlar başlarsın gösterir gösterirsin
başlar başlarsın anlar anlarsın
başlar başlarsın bulur bulursun
başlar başlarsın kurar kurarsın
başlar başlarsın düşer düşersin
başlar başlarsın atar atarsın
başlar başlarsın bekler beklersin
başlar başlarsın sağlar sağlarsın
başlar başlarsın düşünür düşünürsün
başlar başlarsın tartışır tartışırsın
başlar başlarsın bakar bakarsın
başlar başlarsın arar ararsın
başlar başlarsın bırakır bırakırsın
başlar başlarsın yazar yazarsın
başlar başlarsın satar satarsın
başlar başlarsın hazırlar hazırlarsın
başlar başlarsın tutar tutarsın
başlar başlarsın savunur savunursun
başlar başlarsın oynar oynarsın
başlar başlarsın kazanır kazanırsın
getirir getirirsin kalır kalırsın
getirir getirirsin konuşur konuşursun
getirir getirirsin sürer sürersin
getirir getirirsin açıklar açıklarsın
getirir getirirsin girer girersin
getirir getirirsin kullanır kullanırsın
getirir getirirsin yaşar yaşarsın
getirir getirirsin açar açarsın
getirir getirirsin gösterir gösterirsin
getirir getirirsin anlar anlarsın
getirir getirirsin bulur bulursun
getirir getirirsin kurar kurarsın
getirir getirirsin düşer düşersin
getirir getirirsin atar atarsın
getirir getirirsin bekler beklersin
getirir getirirsin sağlar sağlarsın
getirir getirirsin düşünür düşünürsün
getirir getirirsin tartışır tartışırsın
getirir getirirsin bakar bakarsın
getirir getirirsin arar ararsın
getirir getirirsin bırakır bırakırsın
getirir getirirsin yazar yazarsın
getirir getirirsin satar satarsın
getirir getirirsin hazırlar hazırlarsın
getirir getirirsin tutar tutarsın
getirir getirirsin savunur savunursun
getirir getirirsin oynar oynarsın
getirir getirirsin kazanır kazanırsın
kalır kalırsın konuşur konuşursun
kalır kalırsın sürer sürersin
kalır kalırsın açıklar açıklarsın
kalır kalırsın girer girersin
kalır kalırsın kullanır kullanırsın
kalır kalırsın yaşar yaşarsın
kalır kalırsın açar açarsın
kalır kalırsın gösterir gösterirsin
kalır kalırsın anlar anlarsın
kalır kalırsın bulur bulursun
kalır kalırsın kurar kurarsın
kalır kalırsın düşer düşersin
kalır kalırsın atar atarsın
kalır kalırsın bekler beklersin
kalır kalırsın sağlar sağlarsın
kalır kalırsın düşünür düşünürsün
kalır kalırsın tartışır tartışırsın
kalır kalırsın bakar bakarsın
kalır kalırsın arar ararsın
kalır kalırsın bırakır bırakırsın
kalır kalırsın yazar yazarsın
kalır kalırsın satar satarsın
kalır kalırsın hazırlar hazırlarsın
kalır kalırsın tutar tutarsın
kalır kalırsın savunur savunursun
kalır kalırsın oynar oynarsın
kalır kalırsın kazanır kazanırsın
konuşur konuşursun sürer sürersin
konuşur konuşursun açıklar açıklarsın
konuşur konuşursun girer girersin
konuşur konuşursun kullanır kullanırsın
konuşur konuşursun yaşar yaşarsın
konuşur konuşursun açar açarsın
konuşur konuşursun gösterir gösterirsin
konuşur konuşursun anlar anlarsın
konuşur konuşursun bulur bulursun
konuşur konuşursun kurar kurarsın
konuşur konuşursun düşer düşersin
konuşur konuşursun atar atarsın
konuşur konuşursun bekler beklersin
konuşur konuşursun sağlar sağlarsın
konuşur konuşursun düşünür düşünürsün
konuşur konuşursun tartışır tartışırsın
konuşur konuşursun bakar bakarsın
konuşur konuşursun arar ararsın
konuşur konuşursun bırakır bırakırsın
konuşur konuşursun yazar yazarsın
konuşur konuşursun satar satarsın
konuşur konuşursun hazırlar hazırlarsın
konuşur konuşursun tutar tutarsın
konuşur konuşursun savunur savunursun
konuşur konuşursun oynar oynarsın
konuşur konuşursun kazanır kazanırsın
sürer sürersin açıklar açıklarsın
sürer sürersin girer girersin
sürer sürersin kullanır kullanırsın
sürer sürersin yaşar yaşarsın
sürer sürersin açar açarsın
sürer sürersin gösterir gösterirsin
sürer sürersin anlar anlarsın
sürer sürersin bulur bulursun
sürer sürersin kurar kurarsın
sürer sürersin düşer düşersin
sürer sürersin atar atarsın
sürer sürersin bekler beklersin
sürer sürersin sağlar sağlarsın
sürer sürersin düşünür düşünürsün
sürer sürersin tartışır tartışırsın
sürer sürersin bakar bakarsın
sürer sürersin arar ararsın
sürer sürersin bırakır bırakırsın
sürer sürersin yazar yazarsın
sürer sürersin satar satarsın
sürer sürersin hazırlar hazırlarsın
sürer sürersin tutar tutarsın
sürer sürersin savunur savunursun
sürer sürersin oynar oynarsın
sürer sürersin kazanır kazanırsın
açıklar açıklarsın girer girersin
açıklar açıklarsın kullanır kullanırsın
açıklar açıklarsın yaşar yaşarsın
açıklar açıklarsın açar açarsın
açıklar açıklarsın gösterir gösterirsin
açıklar açıklarsın anlar anlarsın
açıklar açıklarsın bulur bulursun
açıklar açıklarsın kurar kurarsın
açıklar açıklarsın düşer düşersin
açıklar açıklarsın atar atarsın
açıklar açıklarsın bekler beklersin
açıklar açıklarsın sağlar sağlarsın
açıklar açıklarsın düşünür düşünürsün
açıklar açıklarsın tartışır tartışırsın
açıklar açıklarsın bakar bakarsın
açıklar açıklarsın arar ararsın
açıklar açıklarsın bırakır bırakırsın
açıklar açıklarsın yazar yazarsın
açıklar açıklarsın satar satarsın
açıklar açıklarsın hazırlar hazırlarsın
açıklar açıklarsın tutar tutarsın
açıklar açıklarsın savunur savunursun
açıklar açıklarsın oynar oynarsın
açıklar açıklarsın kazanır kazanırsın
girer girersin kullanır kullanırsın
girer girersin yaşar yaşarsın
girer girersin açar açarsın
girer girersin gösterir gösterirsin
girer girersin anlar anlarsın
girer girersin bulur bulursun
girer girersin kurar kurarsın
girer girersin düşer düşersin
girer girersin atar atarsın
girer girersin bekler beklersin
girer girersin sağlar sağlarsın
girer girersin düşünür düşünürsün
girer girersin tartışır tartışırsın
girer girersin bakar bakarsın
girer girersin arar ararsın
girer girersin bırakır bırakırsın
girer girersin yazar yazarsın
girer girersin satar satarsın
girer girersin hazırlar hazırlarsın
girer girersin tutar tutarsın
girer girersin savunur savunursun
girer girersin oynar oynarsın
girer girersin kazanır kazanırsın
kullanır kullanırsın yaşar yaşarsın
kullanır kullanırsın açar açarsın
kullanır kullanırsın gösterir gösterirsin
kullanır kullanırsın anlar anlarsın
kullanır kullanırsın bulur bulursun
kullanır kullanırsın kurar kurarsın
kullanır kullanırsın düşer düşersin
kullanır kullanırsın atar atarsın
kullanır kullanırsın bekler beklersin
kullanır kullanırsın sağlar sağlarsın
kullanır kullanırsın düşünür düşünürsün
kullanır kullanırsın tartışır tartışırsın
kullanır kullanırsın bakar bakarsın
kullanır kullanırsın arar ararsın
kullanır kullanırsın bırakır bırakırsın
kullanır kullanırsın yazar yazarsın
kullanır kullanırsın satar satarsın
kullanır kullanırsın hazırlar hazırlarsın
kullanır kullanırsın tutar tutarsın
kullanır kullanırsın savunur savunursun
kullanır kullanırsın oynar oynarsın
kullanır kullanırsın kazanır kazanırsın
yaşar yaşarsın açar açarsın
yaşar yaşarsın gösterir gösterirsin
yaşar yaşarsın anlar anlarsın
yaşar yaşarsın bulur bulursun
yaşar yaşarsın kurar kurarsın
yaşar yaşarsın düşer düşersin
yaşar yaşarsın atar atarsın
yaşar yaşarsın bekler beklersin
yaşar yaşarsın sağlar sağlarsın
yaşar yaşarsın düşünür düşünürsün
yaşar yaşarsın tartışır tartışırsın
yaşar yaşarsın bakar bakarsın
yaşar yaşarsın arar ararsın
yaşar yaşarsın bırakır bırakırsın
yaşar yaşarsın yazar yazarsın
yaşar yaşarsın satar satarsın
yaşar yaşarsın hazırlar hazırlarsın
yaşar yaşarsın tutar tutarsın
yaşar yaşarsın savunur savunursun
yaşar yaşarsın oynar oynarsın
yaşar yaşarsın kazanır kazanırsın
açar açarsın gösterir gösterirsin
açar açarsın anlar anlarsın
açar açarsın bulur bulursun
açar açarsın kurar kurarsın
açar açarsın düşer düşersin
açar açarsın atar atarsın
açar açarsın bekler beklersin
açar açarsın sağlar sağlarsın
açar açarsın düşünür düşünürsün
açar açarsın tartışır tartışırsın
açar açarsın bakar bakarsın
açar açarsın arar ararsın
açar açarsın bırakır bırakırsın
açar açarsın yazar yazarsın
açar açarsın satar satarsın
açar açarsın hazırlar hazırlarsın
açar açarsın tutar tutarsın
açar açarsın savunur savunursun
açar açarsın oynar oynarsın
açar açarsın kazanır kazanırsın
gösterir gösterirsin anlar anlarsın
gösterir gösterirsin bulur bulursun
gösterir gösterirsin kurar kurarsın
gösterir gösterirsin düşer düşersin
gösterir gösterirsin atar atarsın
gösterir gösterirsin bekler beklersin
gösterir gösterirsin sağlar sağlarsın
gösterir gösterirsin düşünür düşünürsün
gösterir gösterirsin tartışır tartışırsın
gösterir gösterirsin bakar bakarsın
gösterir gösterirsin arar ararsın
gösterir gösterirsin bırakır bırakırsın
gösterir gösterirsin yazar yazarsın
gösterir gösterirsin satar satarsın
gösterir gösterirsin hazırlar hazırlarsın
gösterir gösterirsin tutar tutarsın
gösterir gösterirsin savunur savunursun
gösterir gösterirsin oynar oynarsın
gösterir gösterirsin kazanır kazanırsın
anlar anlarsın bulur bulursun
anlar anlarsın kurar kurarsın
anlar anlarsın düşer düşersin
anlar anlarsın atar atarsın
anlar anlarsın bekler beklersin
anlar anlarsın sağlar sağlarsın
anlar anlarsın düşünür düşünürsün
anlar anlarsın tartışır tartışırsın
anlar anlarsın bakar bakarsın
anlar anlarsın arar ararsın
anlar anlarsın bırakır bırakırsın
anlar anlarsın yazar yazarsın
anlar anlarsın satar satarsın
anlar anlarsın hazırlar hazırlarsın
anlar anlarsın tutar tutarsın
anlar anlarsın savunur savunursun
anlar anlarsın oynar oynarsın
anlar anlarsın kazanır kazanırsın
bulur bulursun kurar kurarsın
bulur bulursun düşer düşersin
bulur bulursun atar atarsın
bulur bulursun bekler beklersin
bulur bulursun sağlar sağlarsın
bulur bulursun düşünür düşünürsün
bulur bulursun tartışır tartışırsın
bulur bulursun bakar bakarsın
bulur bulursun arar ararsın
bulur bulursun bırakır bırakırsın
bulur bulursun yazar yazarsın
bulur bulursun satar satarsın
bulur bulursun hazırlar hazırlarsın
bulur bulursun tutar tutarsın
bulur bulursun savunur savunursun
bulur bulursun oynar oynarsın
bulur bulursun kazanır kazanırsın
kurar kurarsın düşer düşersin
kurar kurarsın atar atarsın
kurar kurarsın bekler beklersin
kurar kurarsın sağlar sağlarsın
kurar kurarsın düşünür düşünürsün
kurar kurarsın tartışır tartışırsın
kurar kurarsın bakar bakarsın
kurar kurarsın arar ararsın
kurar kurarsın bırakır bırakırsın
kurar kurarsın yazar yazarsın
kurar kurarsın satar satarsın
kurar kurarsın hazırlar hazırlarsın
kurar kurarsın tutar tutarsın
kurar kurarsın savunur savunursun
kurar kurarsın oynar oynarsın
kurar kurarsın kazanır kazanırsın
düşer düşersin atar atarsın
düşer düşersin bekler beklersin
düşer düşersin sağlar sağlarsın
düşer düşersin düşünür düşünürsün
düşer düşersin tartışır tartışırsın
düşer düşersin bakar bakarsın
düşer düşersin arar ararsın
düşer düşersin bırakır bırakırsın
düşer düşersin yazar yazarsın
düşer düşersin satar satarsın
düşer düşersin hazırlar hazırlarsın
düşer düşersin tutar tutarsın
düşer düşersin savunur savunursun
düşer düşersin oynar oynarsın
düşer düşersin kazanır kazanırsın
atar atarsın bekler beklersin
atar atarsın sağlar sağlarsın
atar atarsın düşünür düşünürsün
atar atarsın tartışır tartışırsın
atar atarsın bakar bakarsın
atar atarsın arar ararsın
atar atarsın bırakır bırakırsın
atar atarsın yazar yazarsın
atar atarsın satar satarsın
atar atarsın hazırlar hazırlarsın
atar atarsın tutar tutarsın
atar atarsın savunur savunursun
atar atarsın oynar oynarsın
atar atarsın kazanır kazanırsın
bekler beklersin sağlar sağlarsın
bekler beklersin düşünür düşünürsün
bekler beklersin tartışır tartışırsın
bekler beklersin bakar bakarsın
bekler beklersin arar ararsın
bekler beklersin bırakır bırakırsın
bekler beklersin yazar yazarsın
bekler beklersin satar satarsın
bekler beklersin hazırlar hazırlarsın
bekler beklersin tutar tutarsın
bekler beklersin savunur savunursun
bekler beklersin oynar oynarsın
